"file"|"exists"|"self"|"message"
"1"|"common.R"|TRUE|TRUE|""
"2"|"dataplot.R"|TRUE|TRUE|""
"3"|"datascript.R"|TRUE|TRUE|""
"4"|"datavalidator.R"|TRUE|TRUE|""
"5"|"forecast.R"|TRUE|TRUE|""
"6"|"leaveout.R"|TRUE|TRUE|""
"7"|"model.R"|TRUE|TRUE|""
"8"|"plotscript.R"|TRUE|TRUE|""
"9"|"residuals.R"|TRUE|TRUE|""
"10"|"retro.R"|TRUE|TRUE|""
"11"|"sourcevalidator.R"|TRUE|TRUE|""
