"file"|"exists"|"self"|"cross"|"message"
"1"|"cn.dat"|TRUE|TRUE|TRUE|""
"2"|"cw.dat"|TRUE|TRUE|TRUE|""
"3"|"lw.dat"|TRUE|TRUE|TRUE|""
"4"|"dw.dat"|TRUE|TRUE|TRUE|""
"5"|"lf.dat"|TRUE|TRUE|TRUE|""
"6"|"survey.dat"|TRUE|TRUE|TRUE|""
"7"|"nm.dat"|TRUE|TRUE|TRUE|""
"8"|"mo.dat"|TRUE|TRUE|TRUE|""
"9"|"sw.dat"|TRUE|TRUE|TRUE|""
"10"|"pf.dat"|TRUE|TRUE|TRUE|""
"11"|"pm.dat"|TRUE|TRUE|TRUE|""
