YEAR,BIOM,STDEV
1980,267.353,91.753
1983,466.062,77.497
1986,443.208,104.081
1991,137.892,26.822
1994,78.741,14.896
1997,93.42,20.621
2000,105.922,29.839
2002,175.953,67.262
2004,130.407,101.179
2006,94.512,45.454
2010,140.932,46.021
2012,44.281,24.274
