"CRUISE","VESSEL","SPECIMENID","SPECIES_CODE","SEX","LENGTH","WEIGHT"
201001,148,171,21740,2,620,1528
201001,148,172,21740,3,680,1872
201001,148,173,21740,3,640,1862
201001,148,174,21740,3,630,1536
201001,148,175,21740,3,680,2324
201001,148,176,21740,3,640,2114
201001,148,177,21740,3,590,1584
201001,148,178,21740,3,510,1062
201001,148,179,21740,3,610,1358
201001,148,180,21740,3,600,1486
201001,148,181,21740,3,590,1396
201001,148,182,21740,3,580,1278
201001,148,183,21740,3,540,1376
201001,148,184,21740,3,580,1798
201001,148,185,21740,3,560,1252
201001,148,186,21740,3,630,2064
201001,148,187,21740,3,610,1876
201001,148,188,21740,3,590,1822
201001,148,189,21740,3,570,1692
201001,148,190,21740,3,450,586
201001,148,191,21740,1,590,1482
201001,148,192,21740,1,620,1636
201001,148,193,21740,1,480,1080
201001,148,194,21740,1,560,1456
201001,148,195,21740,1,630,1586
201001,148,196,21740,1,450,762
201001,148,197,21740,1,550,1160
201001,148,198,21740,1,580,1402
201001,148,199,21740,1,560,1184
201001,148,200,21740,1,560,1564
201001,148,201,21740,1,650,2068
201001,148,202,21740,1,660,1882
201001,148,203,21740,2,590,1620
201001,148,204,21740,2,610,1812
201001,148,205,21740,2,520,1316
201001,148,206,21740,2,480,854
201001,148,207,21740,2,570,1462
201001,148,208,21740,2,550,1124
201001,148,209,21740,2,540,1372
201001,148,210,21740,2,630,1826
201001,148,211,21740,2,600,1496
201001,148,212,21740,2,580,1984
201001,148,213,21740,2,470,828
201001,148,214,21740,2,440,788
201001,148,215,21740,2,640,1738
201001,148,216,21740,2,610,1488
201001,148,217,21740,1,480,978
201001,148,218,21740,1,420,644
201001,148,219,21740,1,440,746
201001,148,220,21740,1,500,1312
201001,148,221,21740,1,460,726
201001,148,222,21740,1,470,850
201001,148,223,21740,1,460,832
201001,148,224,21740,1,440,722
201001,148,225,21740,1,420,620
201001,148,226,21740,1,450,724
201001,148,227,21740,2,400,422
201001,148,228,21740,2,390,478
201001,148,229,21740,2,420,540
201001,148,230,21740,2,680,1972
201001,148,231,21740,2,680,2326
201001,148,232,21740,2,650,1954
201001,148,233,21740,2,390,410
201001,148,234,21740,2,640,2162
201001,148,235,21740,1,410,538
201001,148,236,21740,1,480,990
201001,148,237,21740,1,620,1880
201001,148,238,21740,1,670,2538
201001,148,239,21740,1,460,750
201001,148,240,21740,2,460,732
201001,148,241,21740,2,630,2228
201001,148,242,21740,2,610,1734
201001,148,243,21740,1,670,1972
201001,148,244,21740,1,620,1738
201001,148,245,21740,1,660,2112
201001,148,246,21740,1,590,1792
201001,148,247,21740,1,570,1560
201001,148,248,21740,1,610,1834
201001,148,249,21740,1,640,1908
201001,148,250,21740,1,600,1642
201001,148,251,21740,1,610,1400
201001,148,252,21740,1,620,1584
201001,148,253,21740,1,700,2406
201001,148,254,21740,1,630,1572
201001,148,255,21740,1,640,1306
201001,148,256,21740,1,630,1850
201001,148,257,21740,1,620,1662
201001,148,258,21740,1,560,1396
201001,148,259,21740,1,640,2290
201001,148,260,21740,1,600,1268
201001,148,261,21740,1,590,1682
201001,148,262,21740,1,640,1576
201001,148,263,21740,1,600,1530
201001,148,264,21740,2,650,1718
201001,148,265,21740,2,630,2162
201001,148,266,21740,2,690,3064
201001,148,267,21740,2,650,1852
201001,148,268,21740,2,640,1248
201001,148,269,21740,2,770,2536
201001,148,270,21740,2,620,1520
201001,148,271,21740,2,620,1522
201001,148,272,21740,2,630,1688
201001,148,273,21740,2,640,1802
201001,148,274,21740,1,620,1968
201001,148,275,21740,1,700,2428
