year,index,obs,pred,obs_std,pearson,logpearson
1982,BTS,3871.9,4465.71,281.285,-2.11105,-1.96662
1983,BTS,8929.33,7023.82,576.034,3.30798,3.72473
1984,BTS,6594.17,7431.13,440.671,-1.8993,-1.79008
1985,BTS,7522.25,9503.16,561.621,-3.52713,-3.13528
1986,BTS,7242.32,9127.94,526.89,-3.57877,-3.18487
1987,BTS,7597.54,9387.88,598.325,-2.99225,-2.69099
1988,BTS,11808.3,9239.85,967.753,2.65401,2.9978
1989,BTS,9944.25,8963.05,697.502,1.40673,1.48288
1990,BTS,11590.6,8187.61,992.306,3.42939,4.06726
1991,BTS,7139.78,7859.67,488.285,-1.47433,-1.40629
1992,BTS,6657.66,6113.32,460.64,1.18168,1.23427
1993,BTS,7860.15,5883.78,500.857,3.94596,4.5495
1994,BTS,7106.74,6374.07,465.633,1.57349,1.66243
1995,BTS,6614.41,5770.6,549.973,1.53426,1.64417
1996,BTS,3953.02,5394.33,241.86,-5.95925,-5.08565
1997,BTS,4381.29,4904.7,276.848,-1.8906,-1.78771
1998,BTS,3426.32,5648.75,209.927,-10.5867,-8.16757
1999,BTS,5620.75,5844.7,402.759,-0.556057,-0.545963
2000,BTS,7251.14,6247.24,511.173,1.9639,2.11649
2001,BTS,6079.54,7021.29,399.932,-2.35477,-2.19164
2002,BTS,6755.61,6530.7,394.635,0.569918,0.580115
2003,BTS,11270.3,7069,773.694,5.43021,6.80278
2004,BTS,5492.31,6917.81,346.731,-4.11127,-3.65879
2005,BTS,6986.22,6185.06,466.103,1.71885,1.82768
2006,BTS,4193.39,5706.06,272.03,-5.56066,-4.75315
2007,BTS,6782.91,5637.23,543.58,2.10765,2.31233
2008,BTS,4294.71,4287.66,335.692,0.0210114,0.0210607
2009,BTS,2825.22,4175.37,228.882,-5.89888,-4.8295
2010,BTS,5286.57,4409.31,413.216,2.12301,2.32498
2011,BTS,4509.68,4662.68,321.01,-0.476592,-0.469279
2012,BTS,5158.55,5382.27,334.318,-0.669163,-0.655747
2013,BTS,6739.94,7217.7,437.498,-1.09201,-1.05616
2014,BTS,11648.3,8187.81,654.674,5.28581,6.27703
2015,BTS,11235.5,7910.23,673.14,4.93988,5.86247
2016,BTS,8282.28,7696.73,575.632,1.01722,1.05624
2017,BTS,8873.86,7739.61,452.647,2.50582,2.68282
2018,BTS,4258.43,7054.68,289.332,-9.66452,-7.43815
2019,BTS,9288.15,7830.98,466.432,3.12408,3.40037
2021,BTS,4885.53,5746.9,261.259,-3.29699,-3.03871
2022,BTS,6531.97,5660.16,383.483,2.27339,2.44222
2023,BTS,4934.26,5594.66,283.034,-2.33331,-2.19163
1994,ATS,3628.93,4072.7,685.888,-0.647001,-0.615792
1996,ATS,2944.77,3131.74,437.88,-0.426985,-0.416252
1997,ATS,3590.84,2915.94,485.95,1.38882,1.54541
1999,ATS,4141.37,3346.77,846.424,0.938769,1.05306
2000,ATS,3625.86,3222.57,466.543,0.864419,0.920158
2002,ATS,4305.86,3751.22,535.679,1.03541,1.11271
2004,ATS,4009.94,4052.87,579.137,-0.0741341,-0.0741222
2006,ATS,1872.86,2302.05,293.237,-1.46363,-1.32584
2007,ATS,2277.94,2158.22,399.673,0.29956,0.310067
2008,ATS,1405.59,1889.25,365.99,-1.3215,-1.1546
2009,ATS,1324.78,2321.58,425.211,-2.34425,-1.79158
2010,ATS,2642.67,3040.95,661.556,-0.602023,-0.569386
2012,ATS,2295.95,3504.21,365.48,-3.30594,-2.67284
2014,ATS,4729.83,3732.45,761.95,1.30899,1.47957
2016,ATS,4828.79,4579.63,422.061,0.590347,0.607278
2018,ATS,2499.4,3315.97,460.779,-1.77215,-1.54635
2020,ATS,3617,3703.57,1625.43,-0.0532619,-0.0551503
2022,ATS,3834.04,3350.98,1228.11,0.393339,0.430896
1982,BTS_Age_1,1.13052e+09,9.42455e+08,4.52209e+08,0.415884,0.472276
1983,BTS_Age_1,4.51232e+08,2.63318e+09,1.80493e+08,-12.0888,-4.57872
1984,BTS_Age_1,3.40018e+08,7.69808e+08,1.36007e+08,-3.16006,-2.12105
1985,BTS_Age_1,2.82507e+09,2.17587e+09,1.13003e+09,0.574502,0.677752
1986,BTS_Age_1,2.25575e+09,9.64509e+08,9.02299e+08,1.43105,2.20535
1987,BTS_Age_1,3.04844e+08,4.59346e+08,1.21937e+08,-1.26706,-1.06425
