names(am1[[1]][[1]][[5]][[1]])
repl_F
repl_yld
repl_SSB
FW_Fishery
FW_BTS
FW_ATS
M
q_1
q_2
q_3
q_4
q_5
SurvNextYr
Yr
P_age2len_1
len_bins
TotF
df1
TotBiom_NoFish
SSB_NoFishR
TotBiom
df2
SSB_fut_1
SSB_fut_2
SSB_fut_3
SSB_fut_4
SSB_fut_5
SSB_fut_6
Catch_fut_1
Catch_fut_2
Catch_fut_3
Catch_fut_4
Catch_fut_5
Catch_fut_6
SSB
R
N
F_age_1
Fshry_names
Index_names
Obs_Survey_1
Index_Q_1
Obs_Survey_2
Index_Q_2
Obs_Survey_3
Index_Q_3
Obs_Survey_4
Index_Q_4
Obs_Survey_5
Index_Q_5
pobs_fsh_1
phat_fsh_1
sdnr_age_fsh_1
pobs_ind_1
phat_ind_1
sdnr_age_ind_1
pobs_ind_2
phat_ind_2
sdnr_age_ind_2
Obs_catch_1
Pred_catch_1
F_fsh_1
sel_fsh_1
sel_ind_1
sel_ind_2
sel_ind_3
sel_ind_4
sel_ind_5
Stock_Rec
SR_Curve_years_1
stock_Rec_Curve_1
Like_Comp
Like_Comp_names
Sel_Fshry_1
Survey_Index_1
Survey_Index_2
Survey_Index_3
Survey_Index_4
Survey_Index_5
Age_Survey_1
Age_Survey_2
Age_Survey_3
Age_Survey_4
Age_Survey_5
Sel_Survey_1
Sel_Survey_2
Sel_Survey_3
Sel_Survey_4
Sel_Survey_5
Rec_Pen
m_sigmar
sigmar
rec_dev
F_Pen
Q_Survey_1
Q_power_Survey_1
Q_Survey_2
Q_power_Survey_2
Q_Survey_3
Q_power_Survey_3
Q_Survey_4
Q_power_Survey_4
Q_Survey_5
Q_power_Survey_5
Mest
Steep
Sigmar
Num_parameters_Est
Steep_Prior
sigmarPrior
Rec_estimated_in_styr_endyr
SR_Curve_fit__in_styr_endyr_1
Model_styr_endyr
M_prior
qprior
q_power_prior
cv_catchbiomass
Projection_years
Fsh_sel_opt_fish
Survey_Sel_Opt_Survey
Phase_survey_Sel_Coffs
Fshry_Selages
Survy_Selages
Phase_for_age_spec_fishery
Phase_for_logistic_fishery
Phase_for_dble_logistic_fishery
Phase_for_age_spec_survey
Phase_for_logistic_survey
Phase_for_dble_logistic_indy
EffN_Fsh_1
C_fsh_1
wt_a_pop
mature_a
wt_fsh_1
wt_ind_1
wt_ind_2
wt_ind_3
wt_ind_4
wt_ind_5
EffN_Survey_1
EffN_Survey_2
msy_mt
age2len_1
msy_m0
F40_est
F35_est
rec_like_SRR_stock_1
rec_like_pen_stock_1
rec_like_fut_stock_1
YPR
