$Yr
2021 121891 45599.6 59103.2 251380
2022 117256 43810.7 56904.3 241616
$SSB_fut_3
2013 117485 47025.2 54343.8 253989
2014 157532 61438.2 74221.9 334353
2015 186310 72756.1 87701.3 395793
2016 173353 67075.4 82130 365900
2017 158528 60782 75583.9 332494
2018 144478 54952 69267.4 301352
2019 128902 48640.3 62136.8 267406
2020 117006 43991.9 56541.5 242129
2021 107914 40542.9 52174.9 223200
2022 102755 38631.6 49657.2 212630
$SSB_fut_4
2013 117351 46973 54280.6 253705
2014 152618 59481.9 71940.6 323771
2015 174395 67952 82220.5 369903
2016 157336 60696.2 74696.3 331402
2017 140107 53546.3 66949.5 293204
2018 124928 47381.4 60011.6 260067
2019 109325 41185.2 52759.2 226539
2020 97433.4 36646.4 47071.8 201676
2021 88337.7 33297.1 42614.8 183118
2022 82719.5 31299.1 39800.2 171922
$SSB_fut_5
2013 118010 47223.8 54596.1 255080
2014 178387 69619.5 84007.7 378799
2015 241658 94976.1 113243 515692
2016 254159 99234.6 119654 539863
2017 258315 100028 122315 545529
2018 256714 98494.6 122340 538680
2019 247478 93843 118896 515115
2020 242059 90914.8 117055 500556
2021 239786 89312.2 116615 493055
2022 245262 90788.8 119776 502217
$Catch_fut_1
2013 31274.4
2014 33439.6
2015 28963.6
2016 23113.1
2017 18170
2018 15904.9
2019 13875.6
2020 12307.1
2021 11072.7
2022 10370.7
$Catch_fut_2
2013 43794.9
2014 46558.4
2015 40936.2
2016 33943.3
2017 28279
2018 25825
2019 23668.5
2020 22035.2
2021 20783
2022 20116.9
$Catch_fut_3
2013 51344.4
2014 53497
2015 46137.2
2016 37672
2017 31033.6
2018 28054.1
2019 25485.9
2020 23538
2021 22042
2022 21184.8
$Catch_fut_4
2013 63559.3
2014 64060
2015 53522.2
2016 42622.8
2017 34481.2
2018 30664.9
2019 27466.1
2020 25039.7
2021 23173.7
2022 22010.1
$Catch_fut_5
2013 0
2014 0
2015 0
2016 0
2017 0
2018 0
2019 0
2020 0
2021 0
2022 0
$SSB
1981 252796 70652.2 146071 437498
1982 122387 34205.1 70717.9 211807
1983 121000 33354.6 70423.8 207897
1984 122675 31869.7 73583.1 204518
1985 127534 31134 78821.8 206352
1986 129518 30292.9 81634.8 205487
1987 131410 29713.9 84075.1 205393
1988 132388 29227.3 85579.1 204800
1989 132923 28697.2 86737.9 203700
1990 133844 28241.6 88169.2 203181
1991 136116 27828.8 90811.3 204021
1992 147385 28500.2 100469 216210
1993 154778 30801.7 104359 229555
1994 156442 32551.5 103642 236142
1995 155796 33737 101535 239053
1996 152686 34243.8 98034.9 237803
1997 154864 34749.8 99412 241248
1998 169302 37234.5 109619 261481
1999 178150 40525.8 113680 279182
2000 176590 41499.1 111066 280769
2001 173409 42271.9 107247 280388
2002 170697 42861.4 104100 279898
2003 165795 42779.1 99783.1 275478
2004 161342 42519.5 96088.8 270907
2005 157152 42451.2 92428.8 267197
2006 158639 43746.6 92312.3 272620
2007 157408 45225.1 89619.7 276471
2008 145622 44066 80561 263228
2009 132407 42524 70756.9 247771
2010 121994 41951.7 62510.5 238081
2011 113393 42017.6 55338.9 232352
2012 109742 42585.6 51887.3 232104
2013 118010 47223.8 54596.1 255080
$R
1992 3854.72 625.426 2792.41 5321.16
1993 2734.56 476.323 1935.17 3864.16
1994 2693.15 478.162 1893.39 3830.73
1995 3584.64 615.025 2549.76 5039.55
1996 9341.67 1392.98 6944.11 12567
1997 3082.61 526.594 2195.87 4327.45
1998 1914.23 358.148 1320.92 2774.02
1999 2867.05 503.87 2022.76 4063.75
2000 2568.34 473.139 1782.27 3701.1
2001 3040.11 564.96 2103.01 4394.76
2002 1661.38 350.42 1094.6 2521.64
2003 3251.87 637.13 2205.74 4794.17
2004 3462.8 691.446 2331.75 5142.49
2005 2045.24 445.892 1329.15 3147.13
2006 976.39 247.615 592.612 1608.71
2007 1460.65 368.332 888.954 2400
2008 2297.12 602.696 1371.11 3848.51
2009 1842.47 549.504 1027.66 3303.33
