,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
1977,226.678,268.787,266.347,316.524,305.856,342.37,343.366,326.39,309.695,329.014,268.808
1978,1416.83,1659.53,1646.65,1941.68,1879.37,2096.42,2104.13,1991.88,1884.2,1998.44,1649.23
1979,345.766,400.731,397.816,464.717,450.763,498.891,500.732,474.779,450.663,477.894,398.838
1980,214.761,245.798,244.116,281.958,274.105,301.063,302.122,287.089,273.441,289.501,244.83
1981,231.247,261.209,259.579,296.139,288.535,314.889,315.924,300.926,287.449,303.335,260.332
1982,155.16,174.744,173.698,197.356,192.454,209.45,210.114,200.354,191.74,202.241,174.561
1983,220.331,247.96,246.59,279.823,272.929,297.293,298.244,283.995,271.52,286.254,247.902
1984,306.217,344.637,342.955,388.812,379.425,413.509,414.821,394.227,376.402,396.684,344.934
1985,453.374,502.855,500.583,560.127,548.221,593.182,594.717,565.302,540.087,567.471,501.472
1986,400.506,436.915,435.138,479.946,471.094,505.606,506.672,482.181,461.428,482.931,433.973
1987,599.605,640.222,638.133,690.745,679.79,724.164,725.503,691.454,662.786,688.967,632.685
1988,378.633,402.89,401.552,432.595,426.04,452.227,452.902,432.705,416.11,431.736,399.104
1989,1393.19,1471.05,1469.19,1566.6,1544.99,1635.03,1637.01,1565.15,1507.78,1553.44,1463.57
1990,584.087,624.967,623.776,670.178,659.333,700.114,700.866,670.007,646.368,667.137,625.041
1991,289.63,312.596,311.2,335.619,329.55,350.507,350.493,335.016,323.65,335.702,313.076
1992,509.81,549.394,545.678,585.878,574.505,611.731,610.098,580.528,561.47,583.686,549.587
1993,940.805,1020.28,1003.71,1078.7,1054.69,1124.52,1116.23,1061,1029.43,1079.71,1019.89
1994,316.217,351.215,343.164,373.991,362.727,387.465,384.986,368.299,359.545,381.789,353.815
1995,329.73,378.582,365.418,395.502,382.15,408.017,406.38,394.179,386.601,414.522,379.501
1996,805.724,971.019,923.695,1006.37,982.95,1049.22,1047.17,1023.62,1002.61,1081.63,984.1
1997,141.808,166.16,157.407,177.149,174.748,185.597,184.265,177.782,172.319,187.124,167.617
1998,316.768,343.8,317.189,354.995,351.484,368.07,362.603,345.903,333.002,365.496,325.074
1999,558.242,733.369,684.658,799.976,804.281,841.342,830.364,798.44,770.967,859.106,759.254
2000,212.732,980.655,1040.55,1458.83,1519.12,1645.57,1624.58,1596.51,1556.65,1758.42,1538.19
2001,293.738,355.324,599.29,954.274,1023.64,1070.99,1067.36,1032.16,1001.68,1158.06,999.35
2002,304.052,287.767,285.362,1024.3,1166.25,1159.23,1130.59,1114.43,1088.46,1295.84,1108.49
2003,NA,368.215,356.5,354.409,356.915,245.105,233.056,230.474,234.665,280.351,237.931
2004,NA,NA,362.366,380.58,409.959,671.685,545.13,411.847,366.012,426.355,338.323
2005,NA,NA,NA,434.249,415.263,889.323,976.447,624.772,534.039,631.366,483.403
2006,NA,NA,NA,NA,417.167,407.316,492.511,558.006,382.018,442.06,332.286
2007,NA,NA,NA,NA,NA,475.967,470.351,1001.27,875.506,1124.98,793.422
2008,NA,NA,NA,NA,NA,NA,474.71,450.519,630.691,776.316,498.541
2009,NA,NA,NA,NA,NA,NA,NA,460.395,427.834,388.193,217.289
2010,NA,NA,NA,NA,NA,NA,NA,NA,439.917,390.559,258.328
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,461.269,342.858
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.253
