"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"ssb",1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"",218131,218131,217766,214466,202200,187360,171408,154654,137742,122972,113392,106304,110202,122246,142991,203516,211667,200595,180078,149610,125282,123513,125761,135371,153852,174842,221203,222768,200384,183957,172768,150011,143783,153849,137761,130501,157837,211098,241896,255256,222063,190147,166395,144819,139549,131542,110980,107045
"",260616,260616,260214,256616,243210,226808,208887,189669,169799,152074,140503,133194,140411,157214,183321,257368,267327,252866,227814,191350,161163,157829,157204,164970,182231,201989,249096,249555,225136,207398,195866,171483,165624,177273,160207,153667,186594,250135,289354,309375,275009,242710,221011,204117,211647,213977,209760,NA
"",236671,236671,236329,233297,221962,207907,192302,175305,157453,141407,131160,124342,130804,146265,170645,240196,249402,235858,212107,177447,148983,145903,145863,153875,171138,190909,237077,237637,213739,195787,183076,158629,151580,160978,144045,136271,163488,216745,246610,258281,224521,194252,173712,156179,157019,169585,NA,NA
"",245088,245088,244745,241710,230351,216208,200412,183080,164730,148148,137624,130988,138646,155716,181895,255813,265754,251335,226338,189967,159862,156558,156034,163993,181583,201773,249657,250426,225919,207640,194829,169099,161253,169984,152070,144000,172079,226699,257485,269426,235033,207141,192962,184406,204134,NA,NA,NA
"",260625,260625,260245,256874,244287,228754,211583,192916,173329,155714,144450,137730,146410,165020,193078,271628,282469,267283,241115,203070,171389,168015,167191,175290,193447,214357,264602,265894,240958,222930,210933,184020,175179,182805,163346,154596,183102,238094,269386,281238,248220,230831,230216,228889,NA,NA,NA,NA
"",258061,258061,257692,254424,242207,227075,210271,191920,172576,155132,144012,137345,145991,164517,192443,270658,281415,266260,240155,202212,170632,167269,166497,174631,192811,213751,263978,265312,240502,222783,211315,184668,175947,183682,164292,155862,185169,241193,273117,286521,255871,242123,251746,NA,NA,NA,NA,NA
"",242284,242284,241895,238395,225374,209555,192428,174253,155679,139285,128671,121669,127881,143181,167663,237408,247044,234010,210719,176467,148432,145834,146542,155431,173771,194625,242603,243754,219848,202163,189875,164558,156127,163649,146110,138910,166880,219083,250990,268544,241224,227074,NA,NA,NA,NA,NA,NA
"",247929,247929,247541,244068,231134,215353,198168,179807,160903,144124,133288,126330,133201,149397,174853,247016,256969,243322,219218,183896,154822,151958,152167,160752,178939,199708,248133,249311,225230,207727,196034,170755,162646,170481,152268,144093,169812,216785,241978,252200,243146,NA,NA,NA,NA,NA,NA,NA
"",210363,210363,210019,206919,195388,181389,166272,150313,134114,119943,110902,104188,108318,120521,141402,202043,210364,199477,179112,148765,124509,122760,125124,134997,153895,175216,221898,223393,200737,183717,171435,147687,139780,146942,130024,120707,136226,159299,156321,154252,NA,NA,NA,NA,NA,NA,NA,NA
"",210530,210530,210192,207159,195864,182104,167177,151343,135186,120998,111972,105297,109582,121976,143049,204168,212532,201498,180948,150363,125870,124039,126281,136081,154934,176192,222806,224236,201597,184901,173461,150375,143749,153055,136938,128858,144453,159739,162138,NA,NA,NA,NA,NA,NA,NA,NA,NA
"",179622,179622,179315,176533,166199,153713,140344,126402,112458,100451,92934.2,86487.5,88574,97756.6,115125,166840,173931,165233,147802,121331,100808,99884.3,103907,114849,134452,156283,201556,203053,181227,164212,151115,128229,119062,123332,107737,97666.3,95546.4,94613.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
